log(MSE-NMF-components),comp
4.173538991,40
5.929969891,40
4.540120141,40
2.800019141,40
3.480765311,40
5.220103157,40
4.228496795,40
7.920244119,40
7.930584893,40
6.005099763,40
4.815523056,40
6.541072758,40
5.568415379,40
6.599851503,40
5.966543976,40
6.509392506,40
4.958736069,40
3.750254885,40
7.126059466,40
6.795128693,40
3.888011123,40
2.526113092,40
7.608665099,40
5.002301818,40
4.540937608,40
3.000823357,40
3.829595942,40
1.395906826,40
4.786411982,40
3.962905937,40
6.094460067,40
5.073266652,40
6.382587463,40
6.089524184,40
5.925132915,40
3.967207766,40
5.964351556,40
4.411390905,40
7.514069725,40
3.477314878,40
6.111756234,40
5.859552326,40
4.894495386,40
4.932486231,40
7.081501686,40
2.402719268,40
5.258205369,40
7.143553878,40
8.604134082,40
6.755494777,40
6.909763713,40
4.103533779,40
3.955425554,40
4.888288447,40
4.580167364,40
5.318122836,40
2.914420565,40
4.202620517,40
4.3244194,40
5.058034634,45
3.936833811,45
3.134176448,45
5.138904964,45
5.958116473,45
5.283957864,45
4.046379634,45
6.812164306,45
6.852644507,45
7.069617616,45
6.437223605,45
5.9414249,45
4.941177357,45
5.856881838,45
4.09419883,45
6.777427507,45
4.209501676,45
3.757488188,45
5.798507933,45
2.897478235,45
5.080308259,45
5.256734527,45
3.972168135,45
5.868790917,45
4.858064278,45
4.035099083,45
3.20316529,45
4.713224245,45
4.632011605,45
5.962182444,45
4.179731615,45
6.134159203,45
5.342044585,45
4.209440025,45
6.390855029,45
4.498335093,45
6.17665626,45
5.566814835,45
7.490208405,45
8.573906786,45
4.488082271,45
9.147336404,45
5.433221337,45
6.178089537,45
5.596273136,45
4.816888611,45
5.934358501,45
3.148709518,45
3.660722615,45
4.360939071,45
5.246248866,45
4.878983296,45
6.522841074,45
7.47549868,45
5.338404154,45
5.235430719,45
4.959785102,45
7.557371782,45
3.868878344,45
5.001988501,45
3.961506986,45
5.312552043,45
8.985143787,45
4.709248493,45
5.960803888,45
8.506166868,45
5.395830637,45
2.957476976,45
5.406840676,45
2.319913036,45
6.396177928,45
4.927807603,45
3.560116599,45
7.965208912,45
6.556823915,45
6.140215784,45
5.380854613,45
6.046710096,45
5.895504979,45
3.991626539,45
3.672951269,45
4.394156369,45
4.528210933,45
5.886661288,45
3.819191167,45
4.287708242,45
4.026824169,45
6.17600091,45
3.737693959,45
3.678285434,45
6.410216466,45
5.125361452,45
6.108367747,45
4.425628271,45
4.14044411,45
8.007377627,45
6.18834126,45
6.483520024,45
6.79819445,45
6.581264848,45
8.940207379,45
5.627270155,45
5.080073121,45
6.774281188,45
5.504944285,45
1.992672889,45
5.940957133,45
6.925262401,45
4.387295893,45
5.817756362,45
6.398975367,45
6.067222706,45
6.142747393,45
5.702029586,45
4.034173389,45
5.44361913,45
7.087151457,45
4.95074848,45
4.702266683,45
8.842724437,45
4.277514953,45
7.593455557,45
3.684964023,45
5.494223889,45
6.18852991,45
5.210947177,45
7.002630683,45
5.55641652,45
4.822834643,45
4.076990564,45
3.605478854,45
5.178923241,45
5.181090149,45
5.876814659,45
5.555053759,45
4.858100536,45
6.063953609,45
4.966553632,45
4.662067598,45
6.185047591,45
5.42320826,45
6.178462589,45
4.702211017,45
4.08914307,45
5.157358996,45
5.4166373,45
3.415753102,45
8.354323704,45
5.065403146,45
3.224815183,45
5.069391309,45
5.363237023,45
5.561205398,45
2.324151098,45
5.172638537,45
4.196208141,45
7.273589596,45
5.616422693,45
3.01009022,45
4.310662913,45
8.711712619,45
6.293376632,45
5.048088339,45
4.552662679,45
5.763954951,45
5.921826579,45
5.970271708,45
5.610163679,45
5.5076342,45
2.389415764,45
6.713893037,45
2.747510918,45
5.432864812,45
5.269229958,45
3.419328823,45
5.725018649,45
5.145319599,45
3.100470113,45
4.430992441,45
5.07997328,45
5.474628708,45
6.02042178,45
5.115817571,45
4.549307463,45
5.516782817,45
6.105863125,45
5.755093118,45
5.017688507,45
4.882513814,45
4.775982307,45
5.845345366,45
4.230462754,45
3.553495237,45
4.92307989,45
3.945991195,45
4.370682472,45
4.22187786,45
8.080326603,45
5.715792432,45
6.641261508,45
4.327219056,45
5.643723651,45
7.313988941,45
5.821082854,45
3.704187558,45
3.393537197,45
6.818471552,45
4.051097403,45
5.380003316,45
6.855256151,45
7.535827898,45
5.127619309,45
4.783394514,45
5.387916411,45
5.785684134,45
5.338152204,45
5.254590876,45
4.653771559,45
4.757439301,45
6.099873679,45
3.95784187,45
4.946505869,45
4.826334852,45
8.258688574,45
7.87658025,45
7.082701261,45
5.498378003,45
4.707268382,45
5.812598013,45
3.765023463,45
4.079091081,45
3.58033326,45
4.057609019,45
6.192601047,45
4.97929058,45
4.586078417,45
5.211042172,45
5.178831938,45
4.158767205,45
6.836146953,45
4.577240735,45
3.200181665,45
6.606971621,45
4.835394324,45
2.58396761,45
7.311840285,45
5.122384356,45
8.030295072,45
5.21811853,45
4.817196629,45
5.683781485,45
3.359809486,45
7.487644024,45
3.362245594,45
4.586167065,45
6.627158298,45
8.231440787,45
4.858008585,45
4.068349922,45
4.098216603,45
8.190439487,45
5.549594334,45
4.496168405,45
5.065003309,45
5.85408683,45
2.251763907,45
6.46774135,45
4.26815352,45
5.795217794,45
6.774312349,45
7.116605961,45
3.62287583,45
4.399020096,45
6.585635391,45
8.953069214,45
3.751600051,45
4.231635954,45
7.3448573,45
6.745033944,45
6.41630936,45
6.654273502,45
5.226265912,45
8.863453541,45
5.933472786,45
5.207221788,45
6.115101354,45
5.229814291,45
6.070927511,45
7.333854153,45
8.868478912,45
5.206298829,45
5.654022182,45
5.341112657,45
2.598237787,45
4.857356986,45
3.487167313,45
5.483619604,45
5.758322542,45
6.195448175,45
5.176894119,45
6.810858902,45
6.62681918,45
4.497672344,45
4.995899569,45
4.898402395,45
3.858276303,45
4.619646952,45
4.801108507,45
4.844418465,45
6.871357924,45
4.820635039,45
4.746186675,45
4.706004988,45
5.729186117,45
5.562310178,45
5.243212802,45
6.703134491,45
5.333561947,45
5.674469903,45
7.2864166,45
4.62347049,45
3.502216977,45
5.102920403,45
7.166939443,45
4.118228753,45
3.196698114,45
2.524095231,45
5.104946403,45
5.39587735,45
7.372362206,45
5.530318727,45
5.719655834,45
5.87271597,45
7.162403802,45
5.699779877,45
4.300426891,45
3.800566541,45
6.215592904,45
0.15162762,45
3.694664841,45
6.410178395,45
5.033211371,45
3.160882245,45
2.807512313,45
6.115110995,45
5.430621467,45
5.701805526,45
7.760577197,45
6.735038964,45
3.08925419,45
6.790263472,45
2.228624064,45
4.646590439,45
5.595118576,45
5.711193654,45
5.287371062,45
2.445632224,45
4.164878468,45
6.522530562,45
5.211496373,45
4.621330257,45
3.054042783,45
6.098126949,45
5.224692688,45
2.995248453,45
4.73441372,45
5.431734188,45
7.582768082,45
1.870054105,45
6.957942811,45
5.546729655,45
5.318064642,45
6.040297871,45
4.297144849,45
2.231539444,45
4.642037545,45
6.971923148,45
7.645766163,45
4.567845075,45
2.940444452,45
5.749630344,45
5.182318665,45
3.717689036,45
6.107040219,45
5.335471093,45
4.478994833,45
6.281395561,45
4.781852244,45
5.513314729,45
6.848492368,45
5.60292586,45
4.206600652,45
4.649930752,45
6.247599238,45
4.832521061,45
6.803483834,45
7.131840416,45
3.67002414,45
7.501021627,45
5.071257044,45
