log(MSE-PCA-components),comp,log(MSE-PCA-50-components),log(MSE-PCA-55-components),log(MSE-PCA-60-components)
5.051631297,40,,,
2.913282841,40,,,
4.665664974,40,,,
3.929557881,40,,,
2.436762677,40,,,
5.713014579,40,,,
6.549602323,40,,,
5.808255115,40,,,
6.882771606,40,,,
6.235632029,40,,,
7.288250273,40,,,
2.800540469,40,,,
6.799763623,40,,,
6.099010117,40,,,
6.110682439,40,,,
4.888687638,40,,,
6.643588647,40,,,
3.890680222,40,,,
6.368192473,40,,,
0.920456846,40,,,
6.337731396,40,,,
6.71577314,40,,,
5.208291585,40,,,
5.596626253,40,,,
2.819998467,40,,,
5.738637385,40,,,
6.095827655,40,,,
5.089117477,40,,,
5.5117803,40,,,
6.182159527,40,,,
4.308471553,40,,,
6.650938749,40,,,
7.179649606,40,,,
8.343811843,40,,,
3.876595042,40,,,
5.048279883,40,,,
3.729262754,40,,,
6.159559948,40,,,
3.79801792,40,,,
5.056164454,40,,,
6.488949789,40,,,
8.145063073,40,,,
6.931767341,40,,,
5.416057677,40,,,
3.479905346,40,,,
7.039039843,40,,,
5.676772249,40,,,
5.816632346,40,,,
8.46582555,40,,,
8.651745908,40,,,
4.29906816,40,,,
6.013640874,40,,,
6.405995542,40,,,
5.526768949,40,,,
4.777742581,40,,,
5.430213598,40,,,
3.525895921,40,,,
3.900277662,40,,,
8.234628589,40,,,
6.698784029,40,,,
5.68333513,40,,,
4.309144893,40,,,
7.249631057,40,,,
5.187316585,40,,,
5.823367181,40,,,
6.898630646,40,,,
5.160301972,40,,,
8.322879255,40,,,
4.287739262,40,,,
6.096552698,40,,,
3.598180172,40,,,
3.610233507,40,,,
5.816811752,40,,,
4.076948126,40,,,
6.935071757,40,,,
5.130833218,40,,,
4.833949074,40,,,
6.321491919,40,,,
4.976687439,40,,,
4.472887664,40,,,
3.79301833,40,,,
4.854333118,40,,,
5.662147884,40,,,
7.167674058,40,,,
5.236029972,40,,,
5.759365976,40,,,
7.614752514,40,,,
6.69679882,40,,,
8.353945639,40,,,
3.232129283,40,,,
4.581024192,40,,,
7.389826919,40,,,
5.165114028,40,,,
7.301642904,40,,,
6.847156545,40,,,
7.796603012,40,,,
6.513940999,40,,,
4.819968342,40,,,
6.568298282,40,,,
7.829570305,40,,,
5.310495339,40,,,
4.333187193,40,,,
3.800836019,40,,,
5.167217533,40,,,
2.939310139,40,,,
4.679043625,40,,,
8.362361048,40,,,
6.243624222,40,,,
3.767999401,40,,,
5.062271552,40,,,
5.965062464,40,,,
5.192896831,40,,,
6.077853639,40,,,
4.338010537,40,,,
5.674939026,40,,,
8.219838242,40,,,
3.550362597,40,,,
5.224690717,40,,,
5.026909316,40,,,
4.377642534,40,,,
5.678620894,40,,,
4.657222584,40,,,
7.325251934,40,,,
3.699132498,40,,,
5.606069172,40,,,
6.238395463,40,,,
6.894463878,40,,,
3.940918497,40,,,
5.950303663,40,,,
6.14236658,40,,,
5.588550808,40,,,
5.44062766,40,,,
6.983359049,40,,,
5.24859738,40,,,
