log(MSE-ICA-components),comp
5.811133089,40
7.132483195,40
4.680217244,40
5.53082647,40
6.594793626,40
5.921613518,40
5.194751877,40
5.748678726,40
5.965597781,40
7.025407162,40
4.852545115,40
3.858140076,40
7.223390533,40
6.054501382,40
8.342290879,40
6.853834442,40
6.808289812,40
7.124935664,40
7.994989694,40
4.135958235,40
7.788204529,40
7.232646541,40
2.980156738,40
7.190943447,40
4.117888509,40
6.419629769,40
4.366386779,40
6.245480427,40
2.899716355,40
4.158863771,40
7.484660678,40
6.237384218,40
-0.516656187,40
5.783295774,40
4.864654966,40
5.617894346,40
6.664298485,40
4.824413808,40
7.116078837,40
6.61592137,40
2.387383788,40
5.888851794,40
3.905123956,40
5.152869728,40
4.226924403,40
7.171730583,40
6.300782659,40
6.509790863,40
7.384541456,40
7.786646872,40
6.930364155,40
5.773206636,40
8.500584584,40
5.528402225,40
6.981911272,40
6.109585898,40
5.870070803,40
7.987951003,40
1.897493755,40
5.640718398,40
7.308304853,40
5.783674367,40
7.855272449,40
3.949346015,40
4.170090803,40
5.965821087,40
7.331366693,40
5.352531174,40
5.861934928,40
5.911912725,40
4.703985817,40
6.658498758,40
6.77014996,40
2.494595936,40
6.083332495,40
5.790499496,40
5.297723852,40
7.562506695,40
7.244250142,40
6.68068701,40
6.868337712,40
7.261713372,40
3.465008939,40
5.151687783,40
5.526584792,40
3.271366583,40
8.444957388,40
3.388347124,40
8.517647098,40
8.166428794,40
5.16984908,40
5.265481021,40
5.241158127,40
7.182852338,40
5.761399745,40
7.706853532,40
6.223610666,40
5.223055951,40
5.826153944,40
6.131369547,40
6.686988775,40
5.793736,40
6.739605164,40
6.274261028,40
6.220252235,40
2.843544743,40
4.393760388,40
6.522436959,40
4.431017504,40
5.718373534,40
1.632440955,40
7.083409827,40
4.379032196,40
4.869839742,40
7.37697009,40
3.057744661,40
5.017214555,40
5.32186797,40
6.582977155,40
3.199430165,40
4.842876134,40
4.564766131,40
6.724228321,40
4.286280054,40
2.282807673,40
4.98770346,40
6.511256498,40
6.208436905,40
5.721411106,40
4.289949919,40
6.21304673,40
6.263327837,40
6.697579177,40
6.160878656,40
5.918079639,40
6.882007221,40
8.391040868,40
4.465259322,40
5.53999129,40
5.406018144,40
6.183880332,40
4.992737224,40
5.935428353,40
3.453895354,40
5.572056905,40
5.088603567,40
6.197197864,40
4.83283378,40
6.775052697,40
4.245159782,40
6.494387052,40
6.840902657,40
5.808038377,40
8.290804084,40
5.952660398,40
8.897562401,40
6.577666412,40
8.025664118,40
3.258914896,40
3.272021376,40
4.960387403,40
4.694508591,40
6.284466981,40
6.639271323,40
8.041351244,40
5.128264962,40
8.298023443,40
2.205413746,40
4.774085424,40
6.234528152,40
7.64374296,40
2.592050471,40
0.771401839,40
6.980941655,40
5.82441288,40
5.175673579,40
6.172576972,40
6.538576536,40
7.935123602,40
4.421259599,40
6.995469432,40
8.658958163,40
5.020083318,40
5.170273124,40
7.672490232,40
5.993949136,40
4.816261666,40
4.553359244,40
4.918955723,40
4.995779086,40
3.605706471,40
7.284276084,40
4.662934995,40
7.617693498,40
6.490419192,40
2.239385194,40
4.021491952,40
5.510935875,40
1.917533226,40
5.680869011,40
2.865099334,40
4.896072205,40
6.912376983,40
6.730042865,40
0.151273533,40
6.83650678,40
6.6555491,40
6.369888206,40
4.667631929,40
6.091566245,40
7.006658033,40
-0.20850362,40
5.8092732,40
5.025346498,40
7.937185824,40
4.870642409,40
5.974456174,40
6.283756976,40
6.485243236,40
4.992764357,40
4.948561615,40
6.059309065,40
6.679780492,40
5.598227306,40
3.997957651,40
6.746635857,40
7.941220571,40
8.288053611,40
5.823151347,40
6.679309802,40
5.488839989,40
3.263732248,40
6.106993661,40
6.271713293,40
4.994887247,40
6.423994711,40
7.234832454,40
7.555181228,40
3.420076775,40
4.547627482,40
2.763932053,40
5.168976661,40
5.826778228,40
6.2872069,40
7.321267633,40
5.844206473,40
6.103869377,40
5.634755216,40
8.065876697,40
6.200161102,40
6.435229282,40
7.404107235,40
3.660356866,40
6.25061411,40
5.629725434,40
4.519668843,40
4.69349287,40
4.951116164,40
4.155164956,40
1.76254871,40
6.60100204,40
4.865616578,40
5.64655683,40
6.370154863,40
5.443965247,40
3.487006746,40
5.919651625,40
3.842108078,40
5.553755741,40
6.877486914,40
6.669518964,40
5.776153193,40
6.107333385,40
5.965653054,40
8.189455369,40
3.011449028,40
4.061138885,40
4.007860168,40
6.102648846,40
4.406052476,40
6.245019725,40
5.013127608,40
3.582574143,40
2.148795473,40
4.513530417,40
7.356985595,40
3.741906569,40
1.766087908,40
5.1171235,40
6.905670053,40
7.113109926,40
3.773537607,40
6.122816438,40
6.155622685,40
6.200689756,40
7.018568443,40
7.993954782,40
7.946529117,40
7.477301533,40
5.258094577,40
7.941612633,40
6.668621061,40
7.900910391,40
6.60927272,40
5.468536655,40
7.344572232,40
5.494666158,40
4.678138604,40
4.906125179,40
6.614686716,40
6.435346465,40
7.421114976,40
4.842465327,40
5.888127587,40
7.138511928,40
4.946260171,40
5.588618325,40
7.698797616,40
6.469956868,40
6.459946385,40
5.041403402,40
6.888585883,40
7.482945933,40
6.850559477,40
5.34648994,40
8.533516922,40
2.851403224,40
5.946049137,40
6.772142673,40
5.275779208,40
5.968566045,40
6.19130205,40
4.4105354,40
5.252715516,40
8.39837412,40
2.298533317,40
6.10913751,40
6.42855692,40
7.597308178,40
5.591317495,40
3.878631073,40
5.5906346,40
7.360154388,40
2.409700812,40
5.782678943,40
6.204688579,40
6.16460278,40
7.79803169,40
5.162514283,40
5.923534498,40
6.607843989,40
6.735452205,40
6.701517651,40
3.240888234,40
5.620467759,40
6.513763573,40
8.797116863,40
5.255932191,40
5.917318703,40
2.575146402,40
6.914254544,40
6.707782943,40
6.568674648,40
5.823336357,40
7.185386808,40
5.57737588,40
8.96081497,40
4.955174048,40
7.242747648,40
7.019007145,40
2.993988964,40
2.624449859,40
3.982018223,40
3.388464583,40
4.770361422,40
4.453110037,40
6.509295074,40
8.082612367,40
7.267426267,40
7.007917035,40
3.917129574,40
6.985627759,40
7.510259371,40
5.876607662,40
6.258004335,40
4.33304318,40
3.284819456,40
6.411991561,40
2.965286909,40
5.949397193,40
5.321918864,40
6.736333599,40
5.624127452,40
5.440260263,40
4.379738061,40
5.739622549,40
6.822614693,40
7.168805392,40
3.528447901,40
6.28475161,40
6.372358232,40
6.826113101,40
4.561739034,40
4.808868202,40
5.928094126,40
4.575827079,40
5.130056888,40
4.76617338,40
4.941857766,40
6.125166547,40
4.674697217,40
6.706592567,40
8.29009222,40
5.517557496,40
4.289131463,40
2.359406824,40
4.079004831,40
4.883501501,40
6.129410705,40
4.886862792,40
7.199863497,40
5.889143536,40
4.835750615,40
8.204709379,40
7.231838542,40
4.138193952,40
5.773067404,40
3.829055952,40
4.381652343,40
7.359106277,40
3.853307342,40
4.707031376,40
1.554885174,40
7.099804026,40
